이제 폐지된 구 행정구역(사능면, 고송면, 중수면, 어간면, 당가면, 청엽면, 창전면, 안천면(->안천읍->안천시), 이자면(->이자읍) 지역 제작하자.
		1914년기준행정구역	현행행정구역	편입년도
				
구 사능면		천석리	중구 천석동1-3가,서남동	41
		내조리	중구 내조동,신덕동(일부)	41
		당선리	서구 당선동	49
		사능리	북구 사능동1-3가,치남동	41
		소조리	북구 소조동	49
		해서리	북구 생곡동, 해서동	49
		입리	청엽구 입동1-3가	41
		원리	청엽구 효빈동1-2가	41
		동리리	청엽구 동리동	41
		월천리	남구 월천동	42
		박산리	남구 박산동	42
		신흥리	남구 신흥동	42
		포장리	남구 포장동	49
		운양리	남구 운양동	46
구 어간면		어간리	남구 어간동	55
		평산리	남구 평당동	55
		평당리	남구 평당동	55
		곽암리	남구 곽산동	55
		곽산리	남구 곽산동	55
		항동리	남구 항동2가	55
		항리	남구 항동1,3가	42
		고간리	남구 고간동	55
구 청엽면		신덕리	중구 신덕동 일부	45
		사가당리	동구 사가당동	45
		등리	청엽구 등동	45
		마잡리	청엽구 마잡동	55
		비마리	청엽구 비마동	55
		사노리	청엽구 사노동	55
		서증리	청엽구 서증동	55
		청엽리	청엽구 청엽동	55
		우전리	청엽구 우전동	55
		헌이리	청엽구 헌이송동	55
		송리	청엽구 헌이송동	55
구 당가면		덕현리	동구 덕현동	71
		우택리	청엽구 우택동	71
		진백리	창전구 진백동	71
		북택리	안천구 북택동	71
		하구리	안천구 하구동	71
		치장리	안천구 치장동	71
		뇌전리	안천구 뇌전동	71
		당가리	안천구 당가동	71
		세익리	안천구 세익동	71
구 중수면		전천리	동구 전천동	73
		중수리	북구 중수동	73
		남전리	북구 남전동	73
		오내리	북구 오내동	73
		채산리	북구 채산동	73
		수포리	북구 수포동	73
		실본리	북구 실본동	73
		신영리	북구 신영동	73
		평전리	북구 평전동	73
		아진리	북구 아진동	73
		아자리	북구 아자동	73
		곡진리	북구 곡진동	73
		습지리	북구 습지동	73
		등기리	북구 등기동	73
구 안천면		안천리	안천구 안천동	83
		상가리	안천구 상가동	83
		하가리	안천구 하가동	83
		팔월리	안천구 팔월동	83
		일화리	안천구 일화동	83
		군청리	안천구 군청동	83
		초음리	안천구 초음동	83
		무로리	안천구 무로동	83
		제택리	안천구 제택동	83
		팔망성리	안천구 팔망성동	83
		심화리	안천구 심화동	83
		백합리	안천구 백합동	83
		상점리	안천구 상점동	83
		악부리	안천구 악부동	83
		추자리	안천구 추자동	83
구 고송면		사복리	서구 사복동	63
		과진리	서구 과진동	63
		청덕리	서구 청덕동	63
		고송리	북구 고송동	71
		진희리	북구 진희동	71
		입희리	북구 입희동	71
		입선리	북구 입선동	71
		청능리	북구 청능동	71
		천왕사리	북구 천왕사동	71
		사연리	북구 사연동	71
		추산리	북구 추산동	71
		서도리	북구 서도동	71
		포산리	북구 포산동	71
구 이자면		이자리	안천구 이자동	83
		서수리	안천구 서수동	83
		탄자리	안천구 탄자동	83
		정치리	안천구 정치동	83
		융문리	안천구 융문동	83
		칠채리	안천구 칠채동	83
		영색무리	안천구 영색무동	83
		리의리	안천구 리의동	83
		성저리	안천구 성저동	83
		이와리	탄성군 고해읍 이와리(일부)-편입하며 주변 지역 일부 편입	고해읍편입
		앵내리	탄성군 도변읍 앵내리	도변읍편입
구 창전면		창전리	창전구 창전동	63
		유류리	창전구 유류동	63
		투자리	창전구 투자동	63
		동곡리	창전구 동곡동	63
		팔조리	창전구 팔조동	63
		칠심리	창전구 칠심동	63
		보통리	창전구 보통동	63
		마시리	창전구 마시동 일부	63
		생덕리	창전구 생덕동	63

효빈광역시 연혁			
1914	1914	부군면 통폐합으로 효빈군+탄성군 합군	
1931	1931	효빈면이 효빈읍으로 승격	
1935	1935	효빈읍이 효빈부로 승격후 분리, 잔여지역은 탄성군으로 변경	
1941	1941	사능면 천석리,내조리,사능리,입리,원리,동리리 편입	
1942	1942	사능면 월천,박산,신흥리 및 어간면 항리일부 편입(항동1가 일부 및 항동3가)	
1945	1945	청엽면 신덕리,사가당리,등리 편입	
1946	1946	사능면 운양리 편입 	
1949	1949	효빈부->효빈시 변경 및 사능면 잔여지역 편입	
1955	1955	청엽면,어간면 전체 편입 및 구제 시행, 	
1957	1957	 시청이전(중구 중앙로(현중앙동사무소)->중보로)	
1963	1963	구제 시행(중구,남구,서구) 및 고송면 과진리,사복리,청덕리편입,창전면 전역 편입,탄성군 이자면 이자읍 승격 및 선곡군 야진읍 편입,탄성면 탄성읍 승격	
1971	1971	고송면,당가면 전역편입 및 북구 신설,탄성군 안천면 안천읍 승격 및 선곡군 서목면 편입	
1973	1973	중수면 전역 편입 및 동구 신설,흑택면 뫼서리,시로리,광정리 편입 	
1979	1979	청엽구신설, 탄성군 안천읍이 안천시로 승격,이자읍에 고해면남동,월삼,능릉리 편입,이와리를 고해면으로 이동	
1980	1980	안천시에 소원면 천본,광상,신,천문리 및 도변면 창건리,이십기리 편입 	
1981	1981	덕빈북도 효빈시가 효빈직할시 승격 ,이자읍 앵내리를 도변면으로 편입	
1983	1983	안천시가 효빈직할시로 편입,이자읍 편입 및 안천구 신설 	
1986	1986	약산군 도향면,정근면이 탄성군으로 편입,안천구 이자출장소 설치	
1989	1989	탄성군 고해면이 고해읍으로 승격	
1995	1995	효빈광역시로 변경 및 탄성군편입 및 청엽구 일부를 창전구로 분리신설	
1996	1996	도변면->도변읍 승격 및 	
2003	2003	서목면->서목읍 승격	
2004	2004	광역시청을 중구 중보로에서 북구 고송동으로 이전	
